timestamp,symbol,open,high,low,close,trades,volume,vwap,lastSize,turnover,homeNotional,foreignNotional
2023-01-17 07:00:00+00:00,XBTUSD,20892.5,20915.5,20690.0,20690.0,19,3900,20844.0593,300,18710369,0.18710369000000002,3900.0
2023-01-17 06:00:00+00:00,XBTUSD,20690.5,20915.5,20690.0,20892.5,21,3900,20896.8074,100,18663167,0.18663167,3900.0
2023-01-17 05:00:00+00:00,XBTUSD,20913.5,20919.0,20690.0,20690.5,45,5300,20827.7359,100,25446867,0.25446866999999995,5300.0
2023-01-17 04:00:00+00:00,XBTUSD,20915.5,20915.5,20690.0,20913.5,12,1500,20838.3693,100,7198273,0.07198273000000001,1500.0
2023-01-17 03:00:00+00:00,XBTUSD,20912.5,20918.5,20690.0,20915.5,20,14500,20776.1125,100,69791818,0.6979181799999999,14500.0
2023-01-17 02:00:00+00:00,XBTUSD,20733.5,20923.0,20690.0,20912.5,40,24200,20783.1075,100,116440746,1.16440746,24200.0
2023-01-17 01:00:00+00:00,XBTUSD,20723.5,20922.5,20723.5,20733.5,21,10100,20764.0765,1000,48641772,0.48641771999999994,10100.0
2023-01-17 00:00:00+00:00,XBTUSD,20747.0,20923.0,20691.0,20723.5,17,40800,20730.9741,100,196807085,1.96807085,40800.0
2023-01-16 23:00:00+00:00,XBTUSD,20695.0,20805.5,20695.0,20747.0,39,7200,20762.0503,100,34678710,0.34678709999999996,7200.0
2023-01-16 22:00:00+00:00,XBTUSD,20875.0,20870.0,20690.5,20695.0,27,22400,20812.131,100,107629673,1.07629673,22400.0
2023-01-16 21:00:00+00:00,XBTUSD,21309.0,21311.0,20875.0,20875.0,48,78100,21070.9966,100,370652183,3.70652183,78100.0
2023-01-16 20:00:00+00:00,XBTUSD,21079.5,21355.0,20990.0,21309.0,157,298600,21277.2295,100,1403381003,14.03381003,298600.0
2023-01-16 19:00:00+00:00,XBTUSD,21027.0,21080.0,20999.0,21079.5,36,8800,21046.0741,100,41813090,0.41813089999999997,8800.0
2023-01-16 18:00:00+00:00,XBTUSD,21020.0,21076.0,21010.0,21027.0,33,3800,21050.2828,100,18052038,0.18052038,3800.0
2023-01-16 17:00:00+00:00,XBTUSD,20989.5,21028.0,20995.5,21020.0,27,3500,21015.1141,100,16654684,0.16654684,3500.0
2023-01-16 16:00:00+00:00,XBTUSD,21028.0,21228.5,20817.0,20989.5,50,549900,20892.1796,100,2632089072,26.32089072,549900.0
2023-01-16 15:00:00+00:00,XBTUSD,21230.0,21230.0,21028.0,21028.0,4,1000,21189.3138,200,4719368,0.047193679999999995,1000.0
2023-01-16 14:00:00+00:00,XBTUSD,21230.0,21230.0,21028.0,21230.0,8,800,21115.3999,100,3788708,0.03788708,800.0
2023-01-16 13:00:00+00:00,XBTUSD,21230.0,21230.0,21052.0,21230.0,6,1800,21111.0314,500,8526360,0.0852636,1800.0
2023-01-16 12:00:00+00:00,XBTUSD,21230.0,21230.0,21052.0,21230.0,5,1300,21216.1973,100,6127398,0.06127398,1300.0
2023-01-16 11:00:00+00:00,XBTUSD,21125.5,21230.0,21052.0,21230.0,19,2300,21130.6593,100,10884670,0.10884669999999999,2300.0
2023-01-16 10:00:00+00:00,XBTUSD,21182.5,21230.0,21125.5,21125.5,12,2700,21171.504,100,12753016,0.12753016,2700.0
2023-01-16 09:00:00+00:00,XBTUSD,21182.5,21182.5,21182.5,21182.5,3,300,21182.5,100,1416264,0.01416264,300.0
2023-01-16 08:00:00+00:00,XBTUSD,21179.5,21230.0,21182.5,21182.5,8,1600,21219.3036,100,7540312,0.07540312,1600.0
2023-01-16 07:00:00+00:00,XBTUSD,21170.5,21254.5,21169.5,21179.5,11,1100,21190.3465,100,5191046,0.051910460000000005,1100.0
2023-01-16 06:00:00+00:00,XBTUSD,21164.0,21187.0,21158.5,21170.5,10,1400,21166.4402,100,6614250,0.06614249999999999,1400.0
2023-01-16 05:00:00+00:00,XBTUSD,21126.0,21254.5,21126.0,21164.0,40,5200,21173.7902,100,24558687,0.24558687,5200.0
2023-01-16 04:00:00+00:00,XBTUSD,21360.0,21306.5,21115.0,21126.0,36,52500,21227.2311,100,247323915,2.47323915,52500.0
2023-01-16 03:00:00+00:00,XBTUSD,21155.0,21362.0,21155.0,21360.0,57,40500,21291.7265,200,190215005,1.90215005,40500.0
2023-01-16 02:00:00+00:00,XBTUSD,20983.0,21229.0,20939.0,21155.0,88,62200,21083.2133,300,295021515,2.95021515,62200.0
2023-01-16 01:00:00+00:00,XBTUSD,20869.5,20983.0,20792.5,20983.0,19,22000,20879.8345,7100,105364843,1.05364843,22000.0
2023-01-16 00:00:00+00:00,XBTUSD,20876.5,21013.5,20728.0,20869.5,52,327900,20771.9695,100,1578570747,15.785707470000002,327900.0
2023-01-15 23:00:00+00:00,XBTUSD,20955.0,20956.0,20865.0,20876.5,22,3900,20891.2631,100,18668127,0.18668127,3900.0
2023-01-15 22:00:00+00:00,XBTUSD,20836.0,20955.5,20897.0,20955.0,13,6700,20904.9327,100,32049856,0.32049855999999993,6700.0
2023-01-15 21:00:00+00:00,XBTUSD,20840.5,20878.0,20836.0,20836.0,9,1900,20842.7994,300,9115876,0.09115876,1900.0
2023-01-15 20:00:00+00:00,XBTUSD,20820.5,20841.0,20840.5,20840.5,3,900,20840.6276,700,4318491,0.04318491,900.0
2023-01-15 19:00:00+00:00,XBTUSD,20918.0,20916.0,20815.5,20820.5,24,34200,20852.2307,100,164011408,1.6401140800000003,34200.0
2023-01-15 18:00:00+00:00,XBTUSD,20886.5,20984.0,20865.0,20918.0,15,11200,20938.2865,100,53490540,0.5349054,11200.0
2023-01-15 17:00:00+00:00,XBTUSD,20932.0,21004.5,20855.5,20886.5,38,23300,20965.7671,100,111133657,1.11133657,23300.0
2023-01-15 16:00:00+00:00,XBTUSD,20747.5,20965.5,20748.0,20932.0,71,30300,20836.5891,100,145417320,1.4541732000000003,30300.0
2023-01-15 15:00:00+00:00,XBTUSD,20748.0,20747.5,20716.5,20747.5,6,1900,20741.7671,300,9160268,0.09160267999999999,1900.0
2023-01-15 14:00:00+00:00,XBTUSD,20712.0,20748.0,20709.5,20748.0,15,3600,20727.3647,700,17368373,0.17368372999999998,3600.0
2023-01-15 13:00:00+00:00,XBTUSD,20695.5,20852.0,20636.0,20712.0,82,42400,20749.1265,100,204346159,2.04346159,42400.0
2023-01-15 12:00:00+00:00,XBTUSD,20686.0,20710.5,20684.0,20695.5,11,1200,20694.0794,100,5798770,0.057987699999999996,1200.0
2023-01-15 11:00:00+00:00,XBTUSD,20710.0,20710.0,20676.5,20686.0,8,900,20690.44,100,4349838,0.04349838,900.0
2023-01-15 10:00:00+00:00,XBTUSD,20719.5,20711.0,20675.5,20710.0,18,3700,20706.506,100,17868812,0.17868811999999998,3700.0
2023-01-15 09:00:00+00:00,XBTUSD,20712.5,20723.0,20710.0,20719.5,9,1600,20717.4451,300,7722964,0.07722964,1600.0
2023-01-15 08:00:00+00:00,XBTUSD,20766.0,20715.5,20712.5,20712.5,8,1000,20713.7546,100,4827712,0.04827712000000001,1000.0
2023-01-15 07:00:00+00:00,XBTUSD,20705.5,20766.0,20705.5,20766.0,7,1100,20735.7887,100,5304845,0.05304844999999998,1100.0
2023-01-15 06:00:00+00:00,XBTUSD,20781.0,20745.0,20704.5,20705.5,11,1400,20720.5789,200,6756572,0.06756572000000001,1400.0
2023-01-15 05:00:00+00:00,XBTUSD,20708.0,20821.5,20695.5,20781.0,38,3900,20740.2614,100,18804010,0.1880401,3900.0
2023-01-15 04:00:00+00:00,XBTUSD,20808.0,20826.5,20697.0,20708.0,30,20400,20754.0356,100,98294162,0.9829416200000001,20400.0
2023-01-15 03:00:00+00:00,XBTUSD,20779.0,20831.0,20790.0,20808.0,17,2800,20811.1348,100,13454355,0.13454355,2800.0
2023-01-15 02:00:00+00:00,XBTUSD,20759.5,20792.5,20779.0,20779.0,7,1200,20784.6,100,5773500,0.057734999999999995,1200.0
2023-01-15 01:00:00+00:00,XBTUSD,20984.5,21003.0,20757.5,20759.5,51,39300,20849.6221,100,188492806,1.8849280600000002,39300.0
2023-01-15 00:00:00+00:00,XBTUSD,20928.5,21029.0,20928.5,20984.5,74,18700,20989.8829,100,89090617,0.89090617,18700.0
2023-01-14 23:00:00+00:00,XBTUSD,20885.0,20936.0,20870.5,20928.5,58,13900,20918.7078,100,66447809,0.6644780900000001,13900.0
2023-01-14 22:00:00+00:00,XBTUSD,20773.0,20896.5,20844.5,20885.0,10,9500,20856.6232,100,45549118,0.45549118000000005,9500.0
2023-01-14 21:00:00+00:00,XBTUSD,20787.5,20974.0,20773.0,20773.0,60,140500,20859.2771,400,673561218,6.73561218,140500.0
2023-01-14 20:00:00+00:00,XBTUSD,20759.0,20818.0,20759.0,20787.5,16,2300,20776.1988,100,11070377,0.11070377,2300.0
2023-01-14 19:00:00+00:00,XBTUSD,20822.5,20818.5,20757.0,20759.0,16,2600,20799.6206,100,12500252,0.12500251999999998,2600.0
